Update,Name,Type,Address,Phone,Email,Owner,Status,Site Link,Likes,Updated At,File,Notes
,Natrula,Health Food Store,,,,,New,,,5/10/2026,,
,TOK- বাংলা,"Beauty, cosmetic & personal care","Mohammadpur, Dhaka, Bangladesh, 1207",01345-693054,,,Always open,tokbd.com,,,,"Followers: 11K, Posts: 673, Reviews: 10 reviews, 100% recommend. Business Description: Brings real Korean skincare with fresh, authentic products (no fakes). Contact Option: Chat with us (replies within minutes) and direct message."
,Mayon,Food & Drink,N/A,"01889-033204, +880 1731-676263",mayahardware7@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,"Category: Food & Drink, Followers: 5.2K, Following: 49, Posts: 33, Recommendation: 100% (76 Reviews)"
Lagbena nijei onk kichu paren,Organic Point BD,"Beauty, cosmetic & personal care","Dhaka, Bangladesh","01811-355151, +880 1811-355151",pointbdorganic@gmail.com,,Always open,organicpoint.bd,,,,Instagram Handle: @organicpointbd
,On Glow BD,"Beauty, cosmetic & personal care","Dhaka, Bangladesh (1207), Dhaka Division, Bangladesh",,onglowbd@gmail.com,,Always open,,,,,"6.7K followers, 0 following, 23 posts"
not recieved call,True Beauty BD,"Beauty, cosmetic & personal care","Dhaka, Bangladesh",01949-311077,ready.set.glowwww@gmail.com,,Always open,,,,,"2.1K followers, 0 following, 1.5K posts, 100% recommend (5 Reviews)"
,Glowvena,"Beauty, cosmetic & personal care","Dhaka, Bangladesh",01601-266599,,,Always open,glowvenabd.com,,,,"Followers: 15K, Posts: 4K, Reviews: 4, Instagram Handle: glowvenaa, Languages: English, Bangla"
Yayyyy Wanted to view.... asked for more info in wp,EGC Limited,Wholesale & Supply Store,,01403-755352,,,Always open,egcltdbd.com,,,,"Follower Count: 12K, Following Count: 39, Post Count: 648, Description: Bangladesh's one of the best emerging and most promising Importer And wholesaler."
,Glowri,"Beauty, cosmetic & personal care","Dhaka, Bangladesh","01797-613930, +880 1797-613930",,,Always open,,,,,"Focuses on simple skincare routines for healthy, clear, glowing skin."
,Qadar World,Select a type,"House 62, 4th Floor, Road 14/1, Block G, Niketan, Gulshan 1, Dhaka, Bangladesh, 1212",01810-152553,contact.us@qadarworld.com,,Always open,qadarworld.com,,,,"Languages: Bangla, English (United States), English (UK)"
,Gleam Glows,Health/beauty,"Dhaka, Bangladesh, 1217","01759-215525, +880 1759-215525",,,Open now,gleamglows.com,,,,Not available
,Herbs Care,"Beauty, cosmetic & personal care","Dhaka, Bangladesh",01717-766838,,,Always open,herbscare.org,,,,
,Sky Tracker,Vehicle Tracking System,"S.A Bhaban (6th floor), 115/23 Motijheel Circular Road, Dhaka-1000, Bangladesh",01980-011723,vts@onesky.com.bd,,Closed now,,,,,GPS-based Vehicle Tracking System
,Oriana Tea,Food & Drink,,#ERROR!,orianatea01@gmail.com,,,,,,,
,Ordinary Beauty By Fashion,"Beauty, cosmetic & personal care","Ansar camp, Mirpur-1, Mirpur, Dhaka, Dhaka Division, Bangladesh, 1216",01540-104559,ordinaryfashion8@gmail.com,,Always open,,,,,"Languages Spoken: Bangla, English(UK), Hindi. Recommendation: 100% recommend (9 Reviews)."
,Shining Box,Skin Care Service,"Puran Dhaka bongshal, Dhaka, Bangladesh",,mmdfareshe@gmail.com,,,,8.2K,,,Recommendation: 92% (10 Reviews)
,Glowora Skin Care,"Beauty, cosmetic & personal care",Munshiganj,01813-267023,runaislam77@gmail.com,,,,7.4K,,,
,Glowverse - গ্লোভার্স,"Beauty Gadgets & Tools, Healthy Skin, Natural Glow, Health/beauty","House 10, Road 09, Sector 07, Uttara Dhaka 1230, Dhaka, Bangladesh, 1230",01732-490547,alfaardan.com@gmail.com,,Always open,,,,,Reviews: 3
,Safe Life Plus,Health & wellness website,"Mirpur, Dhaka, Bangladesh",#ERROR!,,,,safelifeplus.com,3K followers,,,Health & wellness website
,Organic Chapai Product,null,"Dhaka, Bangladesh, Nawabganj, Rājshāhi, Bangladesh, Rajshahi Chapainawabganj, Dhaka, Bangladesh, 1319",01953-031144,organicchapai@gmail.com,null,Always open,null,null,null,null,"1 Review, Price Range: $$"
,KM Natural Product,Health & wellness website,"Chandona, Chowrasta, Gazipur, Bangladesh, 1702",01724-731714,,,Always open,,,5/15/2024,,"13K followers, 113 posts, WhatsApp: 01318-781104"
,Orgavibe,Foodservice distributor,New York,1234567890,orgavibe@example.com,Admin,Active,orgavibe.com,,10/27/2023,,Updated contact and address details.
,Sanjina's Mart,Digital creator,"Savar, Bangladesh, 3140",01570-264844,sanjinasmart@gmail.com,Unknown,Always open,Unknown,Unknown,Unknown,Unknown,"100% recommend (10 Reviews); ""Your Beautiful Face Who Deserves CARE"" 🥰"
,Velina Elite BD,Health/beauty,"Dhaka, Bangladesh",01800000002,velinaelitebd@email.com,Velina,Active,velinaelite.com,"Followers: 50K, Posts: 100",10/27/2023,,"Health/beauty business, updated with contact and address details, including social media and WhatsApp."
,TLash,"Beauty, cosmetic & personal care","Dhaka, Bangladesh",01922-276139,null,null,Always open,null,null,null,null,"100% recommend (7 Reviews), Bio: Hail to the place of heaven of authentic cosmetics! If you wanna get addicted here you go!!! TLash give ... (partial text)"
,Crown Auto Tech.,,"Anower LandMark, Uttar Badda, Dhaka, Bangladesh, 1212",01741-303163,ishtiaqueershad515@gmail.com,,,,,5/15/2024,,"Part of communities like ""BANGLADESH,"" ""Lady Biker's BD,"" ""BiKE Lovers✓,"" ""Bike Fan BD,"" and ""Lubricants Bazar Bd."""
,Nagomi SkinCare,Skincare,"Dhaka, Bangladesh",01900000003,nagomiskincare@email.com,Nagomi,Active,nagomiskincare.com,Instagram Engagement,10/27/2023,,"Skincare business, updated with contact details and social media information."
,Elora Mart BD,"Beauty, cosmetic & personal care","Dhaka, Bangladesh",01770-624997,eloramartbd@gmail.com,Elora,Active,eloramartbd.com,"Followers: 10K, Posts: 54",10/27/2023,,"Followers: 10K, Posts: 54, Price Range: $$"
,Lumiera Skin,Health/beauty,"Sangbadik Plot, Road 06, Block F, Mirpur 11, Dhaka, Bangladesh, 1216",01857-386876,lumieraaskin@gmail.com,Lumiera,Active,lumiera.com,Instagram Engagement,10/27/2023,,"Instagram Handle: lumiera_skin, WhatsApp Number: +880 1857-386876"
,Beauty Glowry,"Beauty, cosmetic & personal care","Mirpur, Dhaka, Bangladesh",01785-659807,beautygloowry@gmail.com,Beauty Glowry Owner,Always open,beautygloowry.com,Social Media Presence,10/27/2023,,Specialties including skincare. WhatsApp: Beauty Glowry. Messenger: Beauty Glowry.
,Blooming Beauty BD,"Beauty, cosmetic & personal care","BLOOMING BEAUTY, SKS Tower shop No-78 (2nd Floor), 7 VIP Road, Mohakhali, Dhaka 1212, Bangladesh",01410-966000,bloomingbeauty54@gmail.com,Unknown,Always open,bloomingbeautybd.com,Unknown,,Unknown,"Serves Rangpur, Khulna, and Rajshahi divisions (Bangladesh); 100% recommend (10 Reviews)"
,Sliming Bangladesh,"Beauty, cosmetic & personal care","Dhaka, Dhaka, Bangladesh",01337-877113,slimingbangladesh@gmail.com,,Always open,,,,,"Instagram: @slimingbangladesh, Reviews: 100% recommend (22 Reviews), Price Range: $$"
,Hawa Natural & Beauty Brand,"Beauty, cosmetic & personal care","College Road, Jamalpur Sadar, Jamalpur Sadar Upazila, Bangladesh, 2000",01893-500178,,,Always open,,,,,"Price Range: $$, Specialties (In-store pickup), 3 Reviews"
,Dewan Online Shop,Online Shop,"Goran, Khilgaon, Dhaka, Bangladesh","01844-168586, +880 1844-168586",nifra2022@gmail.com,,Closed now,,,,,"Instagram, Rajshahi, Rajshahi Division, Bangladesh; Chittagong, Chittagong Division, Bangladesh, 4 Reviews, Emerging talent"
,HoneyDew Skin,"Beauty, cosmetic & personal care","Dhaka, Bangladesh",01833-244687,honeydewskin05@gmail.com,Unknown,Always open,Unknown,Unknown,,Unknown,Instagram: @honeydewskin05
,Fabulla Glow,"Beauty, cosmetic & personal care; Retail cosmetics seller","Dhaka, Dhaka, Bangladesh, 1217",01918-515090,fabullaglow@gmail.com,Unknown,Always open,Unknown,Unknown,,Unknown,28K followers · 5 following · 3.5K posts
,Foreign Mart - ফারেন মার্ট,Skincare Cosmetics & Perfumes,"Mymensingh, Dhaka Division, Bangladesh",01719-889104,foreignmart01,Unknown,Closed now,Unknown,Unknown,,Unknown,"Kazi Tower's 10th floor, Gaslina par, Sarsamani. 98% recommend (51 Reviews)"
,Beauty Basics,"Beauty, cosmetic & personal care","Moghbazar, Dhaka, Bangladesh, 1217",01714-318408,beautybasics301@gmail.com,Unknown,Always open,Unknown,28K followers · 770 posts · 100% recommend (61 Reviews) · In-store pickup,Unknown,Unknown,Buy Authentic Cosmetic and Beauty Products
,দেশী সাদ,Unknown,"Kuthipara, Pabna Sadar, Pabna, Bangladesh, 6600; Pabna, Rajshahi Division, Bangladesh",01756-650474,it.mhsamorita@gmail.com,Unknown,Always open,facebook.com/deshisad,Unknown,,Unknown,Unknown
,Tijara Mart,Cosmetics store,"12/1 mosquewar road, zigatola tannery more, Dhaka 1209, Bangladesh",01711-727571,tijaramartbd@gmail.com,Unknown,Always open,tiaramart.com.bd,Unknown,,Unknown,"Language: English, Bangla; 100% recommend (5 Reviews); Always open"
,Guljar Mart,Unknown,"Kasimpur, Boro Bhabanipur, Gazipur, Bangladesh, 1746; Kashimpur, Dhaka, Bangladesh; Gazipur, Dhaka, Bangladesh",01805-700601,guljarmart@gmail.com,Unknown,Always open,guljarmart.com,Unknown,,Unknown,guljarmart (username)
,Miyabi,"Beauty, cosmetic & personal care","Wari, Dhaka, Bangladesh, 1203",01632-258553,miyabiskincare2000@gmail.com,Unknown,Always open,Unknown,Unknown,,Unknown,"26K followers, 1 following, 332 posts. Offers authentic skincare & cosmetics products"
,Fresh Desibazar,Unknown,"mirpur 1, Dhaka, Bangladesh, 1216",01611-740221,freshdesibazar@gmail.com,Unknown,Always open,freshdesibazar.com,34 Reviews,Unknown,Unknown,"Specialties: Online booking, Delivery, Contactless Delivery; 100% quality guarantee"
